	TCGA-A6-2682-01A	TCGA-A6-2683-01A	TCGA-A6-2685-01A	TCGA-A6-2686-01A	TCGA-A6-5662-01A	TCGA-A6-5667-11A	TCGA-AA-3489-11A	TCGA-AA-3496-11A	TCGA-AA-3511-11A	TCGA-AA-3514-11A
RASSF10	2.56313882251126	3.5702754108907206	1.9258076863982498	0.368799168975666	2.60487195852813	0.976554073035027	0.40432977892568794	0.23989212817872896	1.22634577358398	0.41333277980809
RASSF2	1.58740743340482	0.579550419026643	2.4515892581924	3.6271158008119397	1.2853980860355	2.56665262348959	2.86790382374539	2.52511291619728	3.6986288054324903	2.47099940501543
RASSF3	4.04136129756396	3.8098731606390603	4.79213111632881	3.94748405651836	4.9621922748464105	4.58825792950035	5.74446902668531	5.6530023290862905	4.53841257304507	4.83490102885175
RASSF4	1.7294154523908303	1.08168321657823	2.14326723933257	2.45057223401769	0.790740302468353	1.7034760028643101	2.46055247415542	2.21616351134825	1.86479968034355	1.84126870676154
RASSF5	1.54569644692545	0.568268910599617	1.84309055133392	2.33044537224562	0.7461707060678029	2.2508499271550604	2.12861133264468	1.93162580056922	3.05840376089894	2.6241847164969703
RASSF6	1.5873458548264299	0.8331380631021591	1.5261310753784298	1.57539637271304	2.98670496207842	3.12179815876374	2.3772907177476803	2.73069539411838	3.11088010505221	3.21083898496467
RASSF7	5.356976317860401	6.581949037090781	4.7848578778244	4.476475885989309	4.82209994526898	5.31116239106347	4.360027942620991	3.5125145860987996	4.48286315325913	4.57079207344882
RASSF8	1.20721902888907	0.0408861053094191	1.1058623925863	0.6488679838006229	0.7659160717407439	0.7690902270445951	2.42792759318717	2.69608472609498	0.794474099754894	0.6821210599010451
RASSF8-AS1	0.41100756424194607	0.051965336716208003	0.376621001189634	0.22758453201638199	0.12433011427902099	0.194589147835513	0.65362383004662	0.771882233322015	0.20936474323440302	0.119685535650218
RASSF9	0.263210965023823	0.0545635324955087	0.488582983572134	0.761316916970977	0.75729632811033	0.378249318893929	0.7715184252503291	0.984770577441834	0.314472831405396	0.169917996673874
RAVER1	2.94981434265301	5.68749654283084	3.3021375436545894	3.02762217798348	3.8325805937226005	3.6578748073096206	2.7259911770304104	3.00718486120194	3.5297764747867397	3.63557486454604
RAVER2	2.8445179674567997	2.7391459297059	1.92137565770571	3.21274814149192	2.3940151974151	4.36899315688414	3.00270193235225	3.56282086568807	3.67500419874255	4.34180237667577
RB1	2.28430082104069	1.5149748203798798	2.28409708125482	3.05029870101159	3.63605651274207	2.7007238572368104	3.6416909144334797	3.28185765167607	3.12242412706727	3.3908413329956
RB1CC1	2.40814771414166	0.9556941283255529	2.5209548899511405	2.81347349433275	3.3922374380553197	2.73164142413668	2.7586425715975897	3.04590624304131	2.7102065893097596	2.8108659462380405
RBAK	1.5350101063792398	0.7499974620663409	1.2117718657056498	1.41958900594524	1.7190448517081698	1.5082173874656999	1.05633431207009	1.49104394903053	1.61371645913923	1.4868476268208701
RBBP4	3.7197406782740403	2.87211102803385	3.60199816406829	4.2179066870567	3.75482733451082	3.69705796425761	4.09062424935321	3.81050428886365	4.13367989769185	3.9026725640270197
RBBP4P1	0.349626442868064	0.425758787754519	0.377557746633957	0.35767844974277707	0.406136560918574	0.15936902264032402	0.34720831152410003	0.11473287226030901	0.411515052629614	0.26591601287732003
RBBP5	2.36499419705565	2.34892773377752	2.12464197364153	2.63330786658679	3.14338650798861	2.7482679197708304	2.69328958123606	2.7406959862004303	3.0007675076388596	2.9603224866342206
RBBP6	1.79679039123716	1.54700410068993	2.23095762999415	1.9434652280818798	2.94103994005691	2.60861657167023	2.1730851685826997	2.49434827574132	2.73157071862307	2.46259031773442
RBBP7	5.15634950976251	5.01289990768395	4.52592424958151	3.67831349429367	4.11622365315536	3.8151939345962296	4.290786479154541	4.392908833647589	4.12766045125117	4.09129875787463
RBBP8	2.09247960040222	0.8155834744222858	1.41925164484757	3.15712958748818	1.95397222316747	2.23684234965194	2.98321616411637	2.35074813656367	2.62589441465228	2.85255019254596
RBBP8NL	3.42923494165966	3.58231987178972	2.5839624123550697	2.3863587638904598	3.8596749219198503	1.79802445572251	1.36765151661976	1.38597550684523	1.84491757026133	1.83740880008154
RBBP9	3.1550002233736603	3.2916390528082697	2.24663489265691	3.1787957984706003	1.9978273078521398	2.58000393603052	2.97568810195239	2.8111116638479	2.62130329578084	2.40231836220628
RBCK1	6.010762290427929	7.18489642226156	5.3864855918288805	5.0345741948518095	4.72501162230051	4.62075364354071	4.78623477975304	4.35090175324696	4.35179976951349	4.80700221881684
RBFA	2.59209175377768	2.63630460339211	2.59371455731484	2.54927050995405	1.90146915455599	2.27619821187205	2.5237414853403197	2.52080171379169	2.38086898908082	2.1393991503139196
RBFOX2	2.92015363482543	2.74436101407471	3.21344425365224	2.69549340953871	2.43771437460608	3.01926337446284	3.42226817578026	4.25516771023829	2.8877328870476298	2.6349967162218704
RBKS	1.31973492607196	0.9757572080588129	1.84693030244643	1.8252776973286	0.754186050705335	1.9962115323966003	1.4990799013926202	1.6267315111476002	1.40230844469828	2.04987349918367
RBL1	1.6395704232465202	1.07280535897631	1.34403901455899	1.26848515581086	2.32107464930934	1.19365331862242	1.2851050085115001	1.35340968117953	1.69152808686119	1.64905165115121
RBL2	2.70250267479164	3.19661746202127	3.18952082403437	3.07407152971932	3.57692520374344	3.6178293053840296	3.31286360842049	3.57971409720989	3.6396875067895604	3.1769943037269504
RBM10	4.64910882343971	6.05558546090142	4.35901894131586	4.08580248990619	4.18658206162538	4.4857926466329	3.67343861709476	3.97037228489917	4.40885197880337	4.61716342832028
RBM11	0.671820415624593	0.455445942668597	0.19379423996843104	1.46961000835159	1.13132009721824	0.282754982141164	0.7145825982683951	0.40947101281530396	0.18393186676891302	0.41945027063999296
RBM12	3.2866446026289906	2.98891243673814	3.03810840109518	3.59895371946658	3.97698754627529	3.4051545472767697	3.51397745852783	3.66542824801098	3.73103512210392	3.83577374856665
RBM12B	0.7463240586496609	0.41728066107266204	0.831406011954308	1.0593106387109998	1.7961556947833899	1.21706360083406	1.0795304805680301	1.29346384389271	1.7412127450618402	1.2224695258590599
RBM14	3.8567320908447797	4.644620104584781	3.64816584642782	3.52853882191711	3.95097032552554	3.85885776314089	3.57868335023104	3.79650842986444	4.18857031585024	4.31374738367981
RBM14-RBM4	0.9638410270088659	0.5671500140654699	0.513895337050642	0.78735859881251	0.44983538333942297	0.375651782260858	0.469821998030288	0.363900345968873	0.49824170182096206	0.33215928095658104
RBM15	1.7565941783148997	2.1038218728880302	1.2621810931493502	1.95939126039078	1.3824696596606398	1.66867323373436	1.2988728834888001	1.68546632193824	1.88806601678312	2.18978841308476
RBM15B	3.481465153994	4.09260085297709	3.8510412223040005	2.43417155102805	3.88368212731724	3.90445867460553	3.05775356461395	3.58246613465588	3.7814447854997097	3.6940048294094106
RBM17	3.6905365189210997	3.3490069551863098	3.2870474944678096	4.26067324731178	3.55559426160078	3.45554194690919	3.49133296943417	3.4345965720921896	3.6063940837587296	3.49223011324667
RBM18	2.79278804166036	2.4516703294102404	2.53050193355211	3.4697768588150497	3.1623213514186	2.6999843510892405	3.1294135482620797	3.17101107934967	2.77717662109829	2.83380983121308
RBM19	2.54196233700647	2.6087866867584903	2.4513503971941804	2.11556439823295	2.1614412964603797	2.50448049739791	1.9027317854114898	2.13958034085757	2.4509894617658503	2.2805934383996602
RBM22	3.6543606545350293	3.2078071736501603	3.94331603443778	3.7034758692204304	4.35272306375421	3.7962051928430895	3.74303489573431	3.84711840461325	3.92155234321985	4.04151546246018
RBM23	2.47521904869535	2.92236408238508	2.76708482560582	2.6051153113735297	2.2209689418861203	2.72142244502778	2.54177302549894	2.6146136066771697	2.8331329579527997	2.95910253306508
RBM24	0.17249118916151301	0.42132719835411103	0.601424164345119	0.24676427813349203	0.149923121747156	1.78060291384007	1.74307176798854	1.5265525028189901	1.8883595625482401	0.300083274974181
RBM25	2.38389453511872	1.11745523079198	2.18627237908713	2.6577957222140802	2.44184464990018	2.96127315645766	2.79081740181744	2.7052994705662	3.18683465289985	2.9274621369902096
RBM26	2.17828367292266	2.24147818224779	1.77830068193952	2.03259904864528	3.9105407631965097	2.14340678519209	1.9501468837232399	2.16964030360652	2.29904593846409	2.20154663626771
RBM26-AS1	0.933962347814385	0.41274496678178496	0.6047017995147801	0.682704984532102	1.24115246677791	0.47722428504648295	0.613044234995477	0.450425893604079	0.40763776633661203	0.21515008226908702
RBM27	1.09112359444996	0.6470917817718841	1.2893830633607	1.61606152657271	2.3624692543698	1.94299087909325	1.94916143423814	2.24687624529514	2.13438581889632	2.35591117170859
