NAME	DESCRIPTION	Caco2-Ctrl-1_S13	Caco2-Ctrl-2_S1	Caco2-Ctrl-3_S9	Caco2-Oxy-1_S12	Caco2-Oxy-2_S6	Caco2-Oxy-3_S4
ALDH16A1	na	3.4833712625436775	3.4619539627477494	3.7188155767037854	3.3938528402390364	3.6853821278962924	3.895370817614821
ALDH18A1	na	97.64967854199995	96.62345236111736	97.32736705470393	179.5635506265222	155.81605734060435	152.41881348117948
ALDH1A1	na	166.17936112953865	163.23815959853772	169.5440313776615	178.78116368641963	153.2099033454115	142.73723867211618
ALDH1B1	na	11.839145016581144	13.357283327954093	13.66493182894949	5.446933311439944	5.253248051851762	6.276841195483181
ALDH1L2	na	0.682320719550193	0.4472388990676712	0.5571409951969939	0.3661466007076204	0.3714177701739878	0.39292126736891975
ALDH2	na	9.308188292416334	8.761358589126326	9.377899456758573	6.145997465135379	7.049807845845416	6.253837670916569
ALDH3A2	na	7.984767576411047	7.495020653840005	7.746025754449729	6.23041375877359	5.932780987698874	5.82997087014362
ALDH3B1	na	12.887565302687896	14.261953494572143	13.154500818417686	7.616416125260251	8.58617358795373	8.932596398814812
ALDH4A1	na	3.8449222729967634	3.337173510490743	3.844383313312055	2.061234137887342	2.402266381086215	3.061571416543922
ALDH5A1	na	22.720265573611094	21.65206291906968	21.224562770910566	15.033291668798608	14.428694387473412	14.222121508450172
ALDH6A1	na	10.760797067755476	10.606820995402046	10.395301557206365	7.772660367007946	7.7271869350850775	7.056697142023964
ALDH7A1	na	10.790884291981415	11.169635547956718	11.120727918886022	9.511136386280324	8.970411789748372	8.917978783192964
ALDH9A1	na	20.40696280083814	19.893410661174688	19.76157551908307	23.72235167035326	23.159899575141253	22.572675094067396
ALDOA	na	0.6071332761113173	0.7610035613639368	0.7710469200255943	5.523313671868906	3.0421184933886893	2.623856750400589
ALDOB	na	1.6286940545660697	2.438127159778499	1.7702051496096276	1.4210960330772502	1.6685177708066594	2.0190234409164844
ALDOC	na	25.594396415015574	24.617490600760743	22.921437508049546	77.46301421638526	78.06385561033035	83.57988482544344
ALG1	na	4.2036269619381725	4.233789344318157	3.9410094806013634	2.717896469598251	2.6740211692431113	2.5480116524005743
ALG10	na	0.862659340969328	0.96149565207856	1.174760471897053	0.843091994047817	0.8390930252883553	0.5192049128677616
ALG10B	na	0.9501163750011803	0.614343815371134	0.9020042438637168	0.7837324532098584	0.7166162825912503	0.5813729909052241
ALG11	na	1.5204670818121033	1.5542025122884433	1.4326833647396637	0.9488915933983937	1.3563456944684225	1.1605927721283247
ALG12	na	4.3035379589416705	5.280389684370579	4.233797697484993	4.025621761603752	4.809990634337937	4.938300807404881
ALG13	na	2.206283372366098	2.4420602725152887	2.5751390665268126	2.3102753550844373	1.92681598444412	1.8393699488955124
ALG14	na	0.9677052827120494	0.9020549607420492	0.8119106328969503	0.7695840172529103	0.7066378825563671	0.7007809664087588
ALG2	na	14.766088085531784	13.30364737333604	14.578715299603662	17.329635159274986	16.982442190657153	18.62512706073727
ALG3	na	15.015221194313117	16.15328732604579	15.593824421022596	12.43993367790671	14.754181682647118	14.462502414900653
ALG5	na	17.632908808066436	17.6489809978775	18.807225358470152	23.06993116228	21.58984970760929	19.36876582085843
ALG6	na	1.6028478445669188	1.310405478136548	1.4908376847554607	1.1938403663579318	1.2960631081142053	1.180010888117196
ALG8	na	31.361491866011384	31.84099797582777	34.532066269795706	23.03855096401802	23.272030281060506	23.43867690633253
ALG9	na	2.231180142763515	1.9940942842459295	2.333162887727627	2.3192076793081684	2.1623374215873987	1.8749861871212516
ALKBH1	na	5.072059607369313	5.580227163698416	5.127317502647713	6.01045904063971	6.800983021633102	6.1058008298035675
ALKBH2	na	5.397509245877642	5.591875394244548	5.974115031595813	3.707006797327147	3.6534797196109263	4.087420380824842
ALKBH3	na	6.19213285980693	7.854834719408313	6.54821076916815	6.712373090204156	6.603785206272745	6.475902556351384
ALKBH4	na	3.4894769953555684	3.4551776283274114	3.5274933376922437	2.442280031146185	2.7033888337244045	3.214278292194165
ALKBH5	na	21.848941711078023	20.17639741581288	20.151138431768292	37.05037084951204	33.174456792280154	32.48187162089832
ALKBH6	na	1.398060699751651	1.3558429846494269	1.0020197453582145	0.7629399126724834	0.9187496669362023	0.5245926933105711
ALKBH7	na	19.844412446190873	22.99308598512139	22.129993745897405	26.9695419999329	28.212637406097638	32.967267079704044
ALKBH8	na	7.952280071395224	7.324992965599325	7.981533150988531	4.153574339107204	4.257238613735353	4.451299539703646
ALMS1	na	2.319416693504327	2.3763267088828526	2.4423883355308176	3.2600768029455347	3.994004182030581	3.9085325014075742
ALMS1-IT1	na	0.9880558333114666	0.975934151141538	0.9045217141405331	2.730872944678414	2.413131413037895	1.437637865089647
ALOX12-AS1	na	0.29377167103732127	0.26447569238283863	0.3159364427720208	0.28913959480946994	0.24003904405733167	0.2500664198632421
ALPG	na	1.0969209623887823	1.2640409825446084	0.9904381025103115	1.287503277139435	1.031180199467113	0.7060331913317246
ALPI	na	6.8450782814559705	7.397509027269081	6.607886174336773	5.8245659545433845	6.598442610790679	6.678606250909882
ALPK1	na	1.3884679733588579	1.238893746438714	1.1785618803455438	0.8568209312425197	0.8775473499580075	0.8964181402219358
ALPK2	na	1.6960678230152677	1.4533239302841916	1.3197005257578152	1.775022596106457	1.5182225820117239	1.5157074786681597
ALPP	na	0.8906425708528349	1.1934131452032894	1.425623279235483	1.887163874587182	1.1456350412911402	1.6189988294836124
ALS2	na	10.05969467045182	9.939091789779935	9.775940996787517	10.207659348874703	9.21770343130425	9.284313468188348
ALS2CL	na	8.462038422927852	8.708103466726214	7.060482167916126	4.515712730384286	5.039961820322729	5.7100541512617715
ALYREF	na	19.85821916622715	20.850548517366057	21.07111701901541	29.853389184676598	26.728001710132727	30.631725006147132
AMACR	na	3.383775991259955	3.277678303084251	2.9971020707941607	1.47559067391157	1.5288427321475972	2.2070070257511474
AMBP	na	1.5976012348091433	2.2741786584718935	1.5984846044520746	1.2684995387314841	1.7011420367764365	1.5581709633641192
AMBRA1	na	6.861736965615543	7.005769102480798	7.398403529712137	6.559714256357559	7.126397507481476	6.842373495361927
AMD1	na	12.202048488316864	10.97744801413355	11.6505759679651	9.515257202210448	10.189711674430587	9.921741125445577
AMDHD2	na	4.273773078619712	4.266154050829111	4.280253348182458	2.0055925514807864	2.436410253432046	2.9014956326500894
AMER1	na	3.2514892806861386	3.4617782402164794	3.2881555389917727	2.830506094427291	2.8575849719446627	3.164345528430572
AMFR	na	17.27588263563963	18.63695656555052	17.06405448286803	20.765931542487003	20.307163802433152	19.825304239965448
AMIGO1	na	0.7050952248109534	1.065598852702042	0.8093041005690169	0.5070749388033615	0.5695903511511693	0.7392295233699873
AMIGO2	na	4.476365330622195	3.496603980509727	4.34951543662568	1.8924171862504546	2.552963285942923	2.259334767698989
AMMECR1	na	2.3071128113028263	2.05584829266064	2.5050829291282413	1.3343359896069131	1.841096507556213	2.0133110199896525
AMMECR1L	na	8.067851937777677	7.697532208650914	8.279938603125617	10.176288067609416	8.736622164597438	8.586188170904808
AMN	na	14.5201391634309	18.360865752513202	17.362617789942448	14.150928806741023	17.570057708295874	18.492729506403293
AMN1	na	1.174472123552802	1.637186315072476	1.8433451761862392	1.8750950926015517	1.8478697803114295	1.6825961550513155
AMOT	na	10.25355713015417	10.317616710671624	10.849106599805221	8.498841640517512	9.44696520300248	8.749576529890277
AMOTL1	na	33.16041188004044	33.67235535516872	32.327741669828384	42.418237434798606	45.58599269090029	42.08609933147107
