	UBE2T	BIRC5	NUF2	CDC6	CCNB1	TYMS	MYBL2	CEP55	MELK	NDC80	RRM2	UBE2C	CENPF	PTTG1	EXO1	ORC6	ANLN	CCNE1	CDC20	MKI67	KIF2C	ACTR3B	MYC	EGFR	KRT5	PHGDH	CDH3	MIA	KRT17	FOXC1	SFRP1	KRT14	ESR1	SLC39A6	BAG1	MAPT	PGR	CXXC5	MLPH	BCL2	MDM2	NAT1	FOXA1	BLVRA	MMP11	GPR160	FGFR4	GRB7	TMEM45B	ERBB2	Subtype
TCGA-A2-A25F-01A	3.6142138213307295	4.1975049455096505	3.21727226482693	2.4916308238103	4.95601144419098	4.15874369280151	4.9869634657296	4.13845463018261	4.51334821463897	3.5503886253968595	4.89572409633709	5.495175321421031	3.9573256230563096	4.42080107706172	2.62046649863387	1.6417160541611695	4.50362916682325	3.77777514131306	5.58145178399772	4.35694866702565	4.291975616512779	1.18647701896603	5.2624411485110585	4.41085311495391	2.27440300829601	3.0286759868878903	3.48390692545887	1.78135833682653	1.76389877232773	3.59110672515415	5.14478695385524	0.159065543321375	0.7068653652958851	4.91865102086752	2.8546229647988905	0.261176343622659	0.29931690853831	3.51659994692854	0.41808854905787496	3.1840513679951297	3.18270664052838	1.59362661317319	0.31359799622074	5.129287456889251	3.32410751771351	2.07653501331172	0.6718728175621159	1.17200104133233	0.3282907821196311	2.65610797165384	Triple-negative
TCGA-A2-A3KC-01A	4.89262105051142	2.71947546880828	2.15467305413508	1.55153639597086	4.01134104462952	3.4258923356567204	3.3117252746817405	2.29439501241658	2.16884654834207	1.5435110794925702	3.33820467479581	4.53949841611102	4.08628626740579	2.78259361417297	1.61974651697279	0.7702271571507908	2.45810834289375	1.02976269385468	2.83292477991042	3.14124477177177	1.8971262376452	1.04999561687828	6.00847463918201	2.65049825598281	4.55669216110368	4.25006223328438	3.0570385313815898	0.678536978172271	5.376131014790701	2.7234237571926703	5.690941295322	5.650387359154919	5.08527185562544	9.7144857682674	4.0401512579433705	2.82081048757778	3.1806909105223	5.1709527030188704	6.274983805161929	3.15713581051901	2.50159440171752	6.637110919447711	6.36171598790705	4.7937575314642	6.2913750377531805	3.5332173123961903	1.99596896329374	4.22874821990309	1.28422330692542	6.08207116347954	Luminal A
TCGA-A2-A3KD-01A	3.85556856084521	2.96047056339767	2.0048704218021296	2.18579827218029	3.98730436775168	2.8124412713862204	3.1452536540450096	2.53297815006237	2.11106084103564	1.5915428021443798	3.5757780198546296	3.71248638690383	3.37311058814067	2.4897095060283903	1.76446960655256	0.526286107853255	2.7269672563875096	1.02713454808225	3.49128954806242	3.0481243656978303	2.3163340230894	1.4531198314468998	5.49345937495821	2.20727063925355	4.63271180274878	2.6777316246134504	2.75211946477466	0.7161242246141679	4.151210028015751	1.9421546374086696	5.30272260364032	5.28549423655284	5.867967976129428	10.566101660144401	4.40174398104123	3.30219612631387	3.48069669595066	5.54363831807911	5.88609478402831	2.3639003962542	2.8223797550516005	3.2596775883736897	7.15533693389058	5.75500571972827	2.25824978967305	3.57666146725213	1.560147732716	2.78039355459498	2.31853872177896	5.5517485729818095	Luminal A
TCGA-A7-A0CD-01A	3.6515588878315497	3.142933871928569	1.46484686755814	2.72615012934248	4.21196097829867	3.5711676572799105	2.93074781589192	2.60394884190862	1.89236167783631	1.89043342412965	3.0390515014169	3.79080937154211	3.2213420000261404	2.9298854755167003	2.05993727167017	0.6285360979688349	2.46683142997696	0.868058696648922	3.3279330493269903	2.72821584827891	2.44912700178345	0.8772734320057429	6.13846836189222	0.5887802314698841	1.0537285538991	0.5122549608115959	2.82632667981276	0.123865292125266	0.946620813759125	1.5950770388103	1.2329668581899198	1.5997130875239398	6.54970015692945	7.74670086922559	5.19407323537668	3.80623371950005	5.390993974869518	6.05570638089465	6.60048722936	5.38563298640399	4.61962495993585	5.19852124565969	7.47944794909965	5.736853199784499	5.45944901153011	4.26321038017659	1.32943773894724	4.633831267099441	6.17492340823074	6.406763597331178	Luminal A
TCGA-A7-A0CE-01A	5.678139049248131	4.550183652766661	3.48274423486301	3.3214870454906	5.653933565415291	4.03209844310349	4.59926765466939	4.31777209225414	4.47839885775918	3.56318436283811	4.1065090025015	5.41954805326817	5.10144347738429	3.60193247653754	3.5786829794211203	1.82489482527148	3.86451770143676	3.7635590738725497	5.39087609665815	4.14230286474701	4.11318143217565	4.34757552784471	5.66437454144843	3.51319626545392	9.2632029373265	6.555158810873111	5.907617470349151	2.94020142655401	10.129356337527199	5.168391589076251	7.19627350672989	4.22370673577382	2.07902889096144	6.74461564442382	4.9168506964227	0.8567445394368309	0.52546565586158	1.80300006722503	1.6225451937676698	1.4116332207705102	2.9073222166903903	1.30913057840457	1.99931489046368	3.56466910462296	2.71734833489896	2.13980561612234	1.87662481743365	3.1745843964203195	0.7024007206482479	5.28442369130424	Triple-negative
TCGA-A7-A0CG-01A	3.80162079908754	2.2593121044786098	5.024188996308849	1.36929980556466	3.6354670080536096	2.7445001855430298	3.17749092080064	2.39871363646477	2.71578078324341	1.63975179723438	4.24670257287836	3.3444697147459306	2.9784540977365	2.7559024908433902	2.27392410622476	0.465881182255122	2.48559290033514	1.02963106273484	3.0775339592302697	2.7063697380970098	1.98434233470146	1.08180979905111	3.71006122714125	2.49088985393338	5.1958784370686	3.74922393691207	2.76729717368733	1.4338672333126297	4.655424157881139	2.22255486259594	5.7359715214040605	5.88156477050158	6.33112813051606	7.0172921089745	4.35651227949856	3.1515467155449803	1.2606977391114	4.47550634329204	5.9482984410741295	3.1543105743010003	3.33123596755103	7.3940103692367005	6.649598468648139	4.89930573534611	2.48743902506167	4.69071396478307	2.55251409142764	2.05568172155327	1.72383090454335	4.8958395744339	Luminal A
TCGA-A7-A0CH-01A	3.90935008850446	2.0647114809575804	1.8440960331218896	1.65924829599888	3.4949711115284403	2.4897054499515496	1.84015088397342	1.86332948298525	1.559812387681	1.5352289562991102	2.65086690091695	2.85908547679415	2.8794780619631704	2.36500429222052	1.56428013081881	0.382505873557377	2.37112230880117	0.7822203013525891	2.654945240758	2.16617997420847	1.82748386242493	1.38098584936404	3.0632930209125204	0.882559678255205	4.2020907163595895	3.5278139853882498	1.7175909872116295	0.649849164426103	5.1564245912019	1.4545512649671497	2.32272825772076	5.500045373258411	7.223866240110719	8.4363317475446	3.5638550681044503	3.9650350084951698	5.094687361755019	4.27462584335097	5.60376305320088	4.50745295065012	3.0566116495333304	7.949242602628441	7.76347446970747	4.34345417282751	5.67143891901296	4.3317059861393385	0.5588395096225021	2.67344540155319	2.73070169602677	5.251404470489719	Luminal A
TCGA-A7-A0CJ-01A	5.308590674285	4.437623389613201	2.66218945323508	2.4222778577520097	5.6885994001760105	4.5244814854917585	6.205200363498711	3.26752067846244	2.35351434833015	1.51539746964328	4.4211247859048886	5.428918352596152	3.11295214138443	4.0471462274978505	2.42223501610226	1.58543343584455	2.43023238320892	0.854843749847673	4.673026139518191	2.04532128445902	3.4972561375116005	1.83094137491134	5.72153811221383	0.571353491775422	3.41357319569137	0.829306208346215	1.79274218286235	0.458097650182603	4.41347653922052	0.876177028245089	1.93760351239536	3.76088440893019	6.43597463346554	9.86742511332885	3.57556791439276	3.24374062958256	5.57055778485091	5.71430291170963	5.32703316939181	5.23510729246167	3.1058227594109704	4.28419019246875	7.20324809614308	6.51518146196134	5.21521364791662	4.0584905597718	1.5058147468280405	2.32101456768407	1.7076862418455705	4.3253321507739715	Luminal B
TCGA-A7-A0D9-01A	3.03509474523225	1.49879615177697	0.8645247308819151	0.984086251456644	3.13487602598514	2.47819122553696	1.9593638295714095	1.60712690944327	1.62815616165123	1.12307532635096	2.31334134218018	2.42157534772689	1.56048474674763	1.79524376105685	0.778944288839744	0.988603027720444	1.9192069280387	2.0793707569162803	2.00315340861082	1.74016828542265	1.4919070733306297	1.9989731840425	5.129654316943791	1.31629770208028	5.72877088792097	0.984471170449606	2.850230792341609	0.0372051570229917	4.96216810603953	2.09171303574914	2.15457339807028	3.17071544154871	4.92738368512445	8.73315324612379	4.48697567211074	1.48559454027198	0.732067201669558	6.1906233331542095	5.5933256306348005	4.838690913894441	3.0503027913792797	1.99809928171689	6.30048985931258	5.543087536679798	6.0539737681527495	3.5711068690818704	3.50267644618844	2.4615306540340898	2.78480822403942	4.63682078809241	Luminal A
TCGA-A7-A0DA-01A	4.12716500553696	3.92603076003285	3.2687260772136097	1.59376391013681	3.57131431828692	4.20410106527389	3.57720789028853	3.13583145391281	2.99613809693702	2.17367551284171	3.3424141168457098	4.806396138414669	4.01754912524004	3.26356187225439	2.0231119753757096	1.4652114732751798	4.54275246470208	1.5733677479486798	4.44728756210462	3.30460344567001	3.7213418152207898	2.72130416397166	5.64714453508112	3.49377377071147	8.3585338583652	5.23344602293616	4.76822250075857	3.06912847166235	7.79414195115863	4.0118741726882	7.1491700916526115	4.1834447279226605	0.210615391691328	5.02580853604371	3.5653830240462403	0.967553564388117	0.160004339483009	3.03947400875608	0.410632588599033	1.47978834435664	2.7434395993621896	1.06713451693785	0.423279212744709	3.4712592632146	7.20363910527048	2.64667114773061	1.14136082555902	3.5105992610362406	0.22583138545658896	4.625748397985291	Triple-negative
